source_url,strain_count,strain_id
https://multiversebeans.com/product/barneys-farm-widow-remedy-strain-reg-photo-10-pack/,1,[15417]
https://multiversebeans.com/product/beleaf-seeds-detective-buttersworth-strain-fem-photo-5-pack/,1,[4051]
https://multiversebeans.com/product/beleaf-seeds-nine-lions-fem-photo-5pack/,1,[9557]
https://multiversebeans.com/product/beleaf-seeds-we-be-jammin-strain-fem-photo-5-pack/,1,[15051]
https://multiversebeans.com/product/biscotti-gelato-fast-buds-photoperiod-cannabis-seeds-female/,1,[1325]
https://multiversebeans.com/product/blue-dream-full-term-atlas-seeds-photoperiod-cannabis-seeds-female/,1,[1674]
https://multiversebeans.com/product/blue-star-seed-co-blue-star-og-strain-fem-photo-4-pack/,1,[1813]
https://multiversebeans.com/product/blue-star-seed-co-blue-trop-cherry-strain-fem-photo-4-pack/,1,[1831]
https://multiversebeans.com/product/blue-star-seed-co-family-blues-box-set-fem-photo-54-pack/,1,[4745]
https://multiversebeans.com/product/blue-star-seed-co-family-blues-v3-strain-fem-photo-4-pack/,1,[4744]
https://multiversebeans.com/product/blue-star-seed-co-flo-star-strain-fem-photo-4-pack/,1,[4869]
https://multiversebeans.com/product/blue-star-seed-co-grape-juice-cocktail-strain-fem-photo-4-pack/,1,[6170]
https://multiversebeans.com/product/blue-star-seed-co-mayberry-strain-fem-photo-4-pack/,1,[8843]
https://multiversebeans.com/product/blueberry-bacio-span-lion-genetics-photoperiod-cannabis-seeds-female/,1,[1878]
https://multiversebeans.com/product/blueberry-swirl-atlas-seeds-photoperiod-female-cannabis-seeds/,1,[1969]
https://multiversebeans.com/product/bogo-precursor-genetics-bobby-dazzler-strain-fem-photo/,1,[2023]
https://multiversebeans.com/product/bogo-precursor-genetics-wicked-grapefruits-strain-fem-photo/,1,[2024]
https://multiversebeans.com/product/bonus-beans-ethos-genetics-auto-v5-3-pack/,1,[2038]
https://multiversebeans.com/product/brothers-grimm-seeds-apollo-xx-strain-fem-photo-9-pack/,1,[616]
