seed_bank,breeder_name,seed_type,growth_type,source_url,extraction_methods_used,scraped_at,about_info,genetics,strain_name,availability,data_completeness_score,quality_tier,breeding_notes,awards,plant_height,yield,aroma_flavour,effects,medicinal_effect,grow_difficulty,growth_odour,indica_sativa
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/ol-dirty-bearstard,"['description', 'patterns', 'fallback']",2026-01-10T22:36:33.870326,"Ol' Dirty Bearstard Old School Mango Haze x 3 Bears OG 35/653 Bears OG is the Artisanal cornerstone, we’ve said that many times in the past, so pairing the ‘new’ old school with the ‘old’ old school. Earthy tones with an exotic mango zest, pep in your step with a mellowing out to the body.","es we’ve paired our award-winning Old School Mango Haze with some beautiful ladies from across the Mephisto arsenal, each designed to get those taste buds tingling and the head spinning, in the best possible way",Ol Dirty Bearstard,SoldOut,42.9,Medium,,#NAME?,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/octane-45,"['description', 'patterns', 'fallback']",2026-01-10T22:36:34.385530,"Introducing our second drop of our new format Limited Editions! Sundae Thumper is Mephisto Genetics’ second foray into the world of Gelato strains which started with our stunning Iced ‘n’ Baked. As we’ve stated before, we have seen many supposed ‘Auto Gelato’ strains in the market that did not cut the mustard, particul",’ second foray into the world of Gelato strains which started with our stunning Iced ‘n’ Baked,Octane 45,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/obi-wonkanobi,"['description', 'patterns', 'fallback']",2026-01-10T22:36:34.862679,"The Force is strong with this one—Obi Wonkanobi blends candy, gas, and a sharp sour twist into dense, frost-covered nuggets with Starfighter swagger. Compact and colossally coated, this Skywalker-powered cross punches above its height class and delivers terp-rich, lightsaber-smooth smoke that hits faster than hyperspac","punches above its height class and delivers terp-rich, lightsaber-smooth smoke that hits faster than hyperspace",Obi Wonkanobi,SoldOut,42.9,Medium,s from our catalogue,#NAME?,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/nueralyzer-nuggs,"['description', 'patterns', 'fallback']",2026-01-10T22:36:35.346594,"It's one of our most eagerly anticipated limited mashups that will get you mashed-up. The (Alien vs Triangle x Strawberry Nuggets) x Do-si-delirium produced some of the finest Sour Strawberry specimens from the limited testers sent out. Expect a branchy, medium - large plants with high flower-to-plant ratios. Buds lath","es, we've paired some of the finest strains in the Mephisto catalogue to a hand-selected Do-si-delirium pollen donor",Nueralyzer Nuggs,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/neon-nuggets,"['description', 'patterns', 'fallback']",2026-01-10T22:36:35.790532,"Aroma: Strawberry limeade, cream soda, citrus zestEffect: Euphoric, social, light body float Neon Nuggets grows like a fruit bush on a mission, dense, round, and absolutely loaded. She stays compact but swells with forearm-sized colas that glisten like sugar-coated candy sticks. The Strawberry Nuggets brings out the sh",,Neon Nuggets,SoldOut,36.6,Basic,s from our catalogue,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/illuminauto-75-nebula-nuggets,"['description', 'patterns', 'fallback']",2026-01-10T22:36:36.223666,"All Illuminauto strains are untested, aside from our usual germination and general quality control tests. These seeds are listed more cheaply than our standard catalogue items, as we use these lines as a testbed to find the best fire to add to our catalogue for longer-term use. Released as part of our October 2023 Illu",,Illuminauto 75 Nebula Nuggets,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/neapolitanoz,"['description', 'patterns', 'fallback']",2026-01-10T22:36:36.593646,"Offering probably the most potent flavour profile of the whole lineup, expect shorter plants with the densest nuggetry around. Frost on frost, make sure your carbon filters are fresh when this one is in your tent.",is all about: turning legendary photoperiod cuts into the absolute best autoflowering strains available on the market today,Neapolitanoz,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/moonoz,"['description', 'patterns', 'fallback']",2026-01-10T22:36:36.988204,"Moon O'z, combining MephistO'z and Ripley's OG, should grow tall with dense, colourful buds and a rich, earthy aroma. Anticipate a powerful, relaxing high and high yields, making it ideal for evening use. Ripley's OG adds its potent burnt rubber and chocolate, with the expectation of the most unique flavours in the lin",is all about: turning legendary photoperiod cuts into the absolute best autoflowering strains available on the market today,Moonoz,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/illuminauto-65-monster-mashup,"['description', 'patterns', 'fallback']",2026-01-10T22:36:37.419090,"All Illuminauto strains are untested, aside from our usual germination and general quality control tests. These seeds are listed more cheaply than our usual catalogue items, as we use these lines as a testbed to find the best fire to add to our catalogue for longer-term use.Released as part of our June 2023 Illuminauto",,Illuminauto 65 Monster Mashup,SoldOut,36.6,Basic,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/monkey-memento,"['description', 'patterns', 'fallback']",2026-01-10T22:36:37.817897,"Expect a slightly shorter plant but with no less emphasis on the density of nuggetry on show. With flavours ranging from earthy and sour, to lemon citrus, chemicals and grapes, this girl has got the lot.","es, we've paired some of the finest strains in the Mephisto catalogue to a hand-selected Do-si-delirium pollen donor",Monkey Memento,SoldOut,42.9,Medium,,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/mojito-de-mango,"['description', 'patterns', 'fallback']",2026-01-10T22:36:38.191957,"Aroma: Mango nectar, lime zest, garden mintEffect: Light, cerebral, tropical clarity Mojito de Mango is a tall, zesty sativa with island vibes and old-school energy. Expect long, hazy colas soaked in mango sweetness, sharpened with lime and kissed with minty coolness. She hits fast and bright, clear-headed, social, and",,Mojito De Mango,SoldOut,36.6,Basic,s from our catalogue,,,,,,,,,
Mephisto Genetics,Mephisto Genetics,Feminized,Autoflower,https://mephistogenetics.com/products/midnight-purple-express,"['description', 'patterns', 'fallback']",2026-01-10T22:36:38.612335,"A grandparent-backcross, Pigletta’s Purple Haze traces its lineage through Northern Cheese Haze back to Fantasmo Express and what was at the time, the most sativa dominant strain in our catalogue. Doubling down on the haze, expect an uplifting, energetic and creative high that doesn’t put you in the doldrums on the com","es, we've paired our Pigletta’s Purple Haze with some of the finest pollen donors from the Mephisto collection",Midnight Purple Express,SoldOut,42.9,Medium,,,,,,,,,,
