strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Rainbow Breath,https://www.cropkingseeds.com/feminized-seeds/rainbow-breath-feminized-seeds/,html/ca93cefef28173e8.html,Crop King Seeds
Pineapple Sorbet,https://www.cropkingseeds.com/feminized-seeds/pineapple-sorbet-feminized-seeds/,html/79636db9256dcda8.html,Crop King Seeds
Lemon OG Haze,https://www.cropkingseeds.com/feminized-seeds/lemon-og-haze-feminized-seeds/,html/28c21985dfca3e47.html,Crop King Seeds
Agua Fresca,https://www.cropkingseeds.com/feminized-seeds/agua-fresca-feminized-seeds/,html/f1be981dec183993.html,Crop King Seeds
Strawberry Cream Cake Strain,https://www.cropkingseeds.com/feminized-seeds/strawberry-cream-cake-strain-feminized-marijuana-seeds/,html/718315e8bb259d0b.html,Crop King Seeds
Grape Slushie,https://www.cropkingseeds.com/feminized-seeds/grape-slushie-feminized-seeds/,html/9575b742b9501bb3.html,Crop King Seeds
Amnesia,https://www.cropkingseeds.com/autoflowering-seeds/amnesia-marijuana-seeds/,html/b8012a6c5e6d586a.html,Crop King Seeds
Lilac Wine,https://www.cropkingseeds.com/feminized-seeds/lilac-wine-feminized-seeds/,html/6369b0404f362bcd.html,Crop King Seeds
Cookie Haze,https://www.cropkingseeds.com/feminized-seeds/cookie-haze-feminized-marijuana-seeds/,html/3c9df4ea48d4f3bc.html,Crop King Seeds
Acai Gelato Strain,https://www.cropkingseeds.com/feminized-seeds/acai-gelato-strain-feminized-marijuana-seeds/,html/2805d20d7d506c89.html,Crop King Seeds
Pink Slushie Fryd,https://www.cropkingseeds.com/feminized-seeds/pink-slushie-fryd-feminized-seeds/,html/8a4697395494bb63.html,Crop King Seeds
Banana Cookies Strain,https://www.cropkingseeds.com/feminized-seeds/banana-cookies-strain-feminized-marijuana-seeds/,html/8e588f8daa8a0fa6.html,Crop King Seeds
Space Panda Strain,https://www.cropkingseeds.com/feminized-seeds/space-panda-strain-feminized-marijuana-seeds/,html/c21a5279ab457a5c.html,Crop King Seeds
BC,https://www.cropkingseeds.com/feminized-seeds/bc-feminized-seeds/,html/bc95bec6dac01d8e.html,Crop King Seeds
Slurricrasher Strain,https://www.cropkingseeds.com/feminized-seeds/slurricrasher-strain-feminized-marijuana-seeds/,html/7e8ec1c1359e9123.html,Crop King Seeds
Kombucha Cream,https://www.cropkingseeds.com/feminized-seeds/kombucha-cream-strain-feminized-marijuana-seeds/,html/509a8ea45666c6c9.html,Crop King Seeds
