strain_name_raw,source_url_raw,s3_html_key_raw,breeder_extracted
Cindy 99 Blimburn Seeds,https://herbiesheadshop.com/cannabis-seeds/cindy-99-blimburn-seeds,html/8fc439f834264690.html,Blimburn Seeds
Dozy Breath,https://herbiesheadshop.com/cannabis-seeds/dozy-breath,html/90614ad3b5b7a20d.html,AlphaFem Seeds
Green Crack Auto,https://herbiesheadshop.com/cannabis-seeds/green-crack-auto,html/90b2dd0c5828ee68.html,Fast Buds
Super Lemon Haze Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/super-lemon-haze-herbies-seeds-usa,html/91577f9bc175e3b1.html,Herbies Seeds
Critical Daddy,https://herbiesheadshop.com/cannabis-seeds/critical-daddy,html/917e7741ea9181c9.html,Blimburn Seeds
Cbd Critical Mass 1 1 Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/cbd-critical-mass-1-1-herbies-seeds-usa,html/91daa76c07bdac5d.html,Herbies Seeds
Pineapple Express Auto Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/pineapple-express-auto-barneys-farm,html/92029470a953da23.html,Barney's Farm
Durban Poison Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/durban-poison-auto-herbies-seeds-usa,html/92650fe9e5c4f543.html,Herbies Seeds
Ak 47 Fast Version,https://herbiesheadshop.com/cannabis-seeds/ak-47-fast-version,html/92b354207f3210da.html,EGS
Californian Snow Auto,https://herbiesheadshop.com/cannabis-seeds/californian-snow-auto,html/92bf4aa3e9f28037.html,Fast Buds
Sweety Auto Blimburn Seeds,https://herbiesheadshop.com/cannabis-seeds/sweety-auto-blimburn-seeds,html/931315b6bdd7655b.html,Blimburn Seeds
Lsd Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/lsd-auto-herbies-seeds-usa,html/9360eff1710b02f7.html,Herbies Seeds
Purple Punch F1,https://herbiesheadshop.com/cannabis-seeds/purple-punch-f1,html/937cd82dca8e4a26.html,Seedkeepers
Holy Punch,https://herbiesheadshop.com/cannabis-seeds/holy-punch,html/93834a79edc82625.html,Green House Seeds
Francos Lemon Cheese,https://herbiesheadshop.com/cannabis-seeds/francos-lemon-cheese,html/93f9c4b1b37ecbd2.html,Green House Seeds
Gmo Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/gmo-herbies-seeds-usa,html/9535122e195b367e.html,Herbies Seeds
Hindu Kush Automatic,https://herbiesheadshop.com/cannabis-seeds/hindu-kush-automatic,html/9571f424d24e394d.html,Sensi Seeds
Watermelon Z Auto Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/watermelon-z-auto-barneys-farm,html/959bd0f4e6b4433c.html,Barney's Farm
Cbd White Widow 1 1 Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/cbd-white-widow-1-1-herbies-seeds-usa,html/95da4c7be5caa4ae.html,Herbies Seeds
Frisian Dew,https://herbiesheadshop.com/cannabis-seeds/frisian-dew,html/961f9edce506c28a.html,Dutch Passion
Original Auto Chemdawg Fastbuds,https://herbiesheadshop.com/cannabis-seeds/original-auto-chemdawg-fastbuds,html/9668909c4caad276.html,Fast Buds
Sunset Sherbet Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/sunset-sherbet-herbies-seeds-usa,html/9708d301786bcb48.html,Herbies Seeds
Guanabana Blimburn Seeds,https://herbiesheadshop.com/cannabis-seeds/guanabana-blimburn-seeds,html/9711662b1859c249.html,Blimburn Seeds
Auto Skywalker Haze Dutch Passion,https://herbiesheadshop.com/cannabis-seeds/auto-skywalker-haze-dutch-passion,html/976c4a67b2e57307.html,Dutch Passion
Mexican Sativa,https://herbiesheadshop.com/cannabis-seeds/mexican-sativa,html/977398973f4c90c3.html,Sensi Seeds
Euforia,https://herbiesheadshop.com/cannabis-seeds/euforia,html/981952178d67af0f.html,Dutch Passion
Black Toffee Auto Ghs,https://herbiesheadshop.com/cannabis-seeds/black-toffee-auto-ghs,html/984de0b462da679d.html,Green House Seeds
Tangie Auto Blimburn Seeds,https://herbiesheadshop.com/cannabis-seeds/tangie-auto-blimburn-seeds,html/98ab3b063b882d08.html,Blimburn Seeds
Super Boof Barneys Farm,https://herbiesheadshop.com/cannabis-seeds/super-boof-barneys-farm,html/98cd1ec40a07f854.html,Barney's Farm
Jack Herer Green House Seeds,https://herbiesheadshop.com/cannabis-seeds/jack-herer-green-house-seeds,html/992edc9bcb2ddf34.html,Green House Seeds
Northern Lights Auto Herbies Seeds,https://herbiesheadshop.com/cannabis-seeds/northern-lights-auto-herbies-seeds,html/999e7b79c9b11417.html,Herbies Seeds
Skunk 1 Auto Herbies Seeds Usa,https://herbiesheadshop.com/cannabis-seeds/skunk-1-auto-herbies-seeds-usa,html/99e0dc200576164e.html,Herbies Seeds
Original Auto White Widow Fastbuds,https://herbiesheadshop.com/cannabis-seeds/original-auto-white-widow-fastbuds,html/99e32eb5e609f680.html,Fast Buds
